supplier_id,company_name,sector,city,company_size,founded_year,employee_count,vkn,supplier_annual_revenue_tl,annual_purchase_volume_tl,total_orders_last_year,late_orders_last_year,price_q1,price_q2,price_q3,price_q4,units_shipped_last_year,units_returned_last_year,contract_start_date,last_audit_date,payment_terms_days,iso_certified,overdue_debt_ratio,debt_to_revenue_ratio,payment_default_last_3y,has_export_documentation,requires_full_upfront_payment,site_visit_verified,exports_to_eu,has_emissions_reporting_capability,period,vkn_valid
SUP067,Akçay İnşaat Malzemeleri Tic.,İnşaat Malzemeleri,Tekirdağ,Small,2014,44,6854973341,79747507.16,21481009.21,57,5,,185.79,180.36,209.79,3951,466,2023-01-17,,,False,0.16,0.57,False,True,True,False,True,False,2025-Q4,True
SUP019,Akar İnsaat Malzemeleri Ltd. Şti.,İnşaat Malzemeleri,İzmir,Small,2012,41,1656272985,72597068.78,15861083.6,34,11,,227.63,252.64,270.52,13112,2592,2022-11-05,2025-12-02,30,False,0.13,0.21,False,True,True,True,False,False,2025-Q1,True
SUP056,Hayrioğlu Soylu Nakliyat Grup A.Ş.,Lojistik,Denizli,Large,1961,2282,8584161691,5528303491.61,155768057.44,320,82,295.6,311.12,297.56,312.11,368461,298,2016-09-13,2025-12-19,45,True,0.21,0.37,False,True,False,True,False,True,2025-Q2,True
SUP068,Demir Yüksel Kimyasal Ürünler San. ve Tic. A.Ş.,Kimya,Balıkesir,Large,1959,,1415747331,5934917818.18,194708467.52,267,29,1080.15,1202.13,895.63,1159.65,807875,47362,2025-07-01,2025-08-26,60,,,0.07,True,True,False,True,True,False,2025-Q4,True
SUP032,Aslan Erdoğan İplik San. ve Tic. A.Ş.,Tekstil,İstanbul,Medium,,184,8026217457,922087151.04,58434839.42,80,4,599.44,573.81,577.47,568.64,107609,11612,2022-01-22,2025-07-18,90,False,0.32,0.15,False,True,False,True,False,True,2025-Q1,True
SUP073,Şama Elektronik San. Tic. Ltd. Şti.,Elektronik,Gaziantep,Medium,2003,79,4971870724,636233018.98,77361821.89,128,0,809.62,708.88,665.12,669.41,44010,8155,2017-03-24,2026-07-09,90,False,0.11,0.45,False,True,False,True,True,,2025-Q3,True
SUP065,Duran Demir Çelik Ltd. Şti.,Metal ve Çelik,Tekirdağ,Small,2005,20,7949588879,55821026.46,6955654.47,52,13,79.83,83.84,69.76,77.1,2650,396,2020-04-18,,60,,0.11,0.39,True,False,False,True,False,False,2025-Q3,True
SUP079,Şafak Nakliyat Tic.,Lojistik,İstanbul,Small,1994,11,5899642355,42368015.62,10086862.83,46,13,143.33,127.28,146.86,143.63,6809,868,2018-05-05,2026-02-03,45,False,0.09,0.69,False,True,,True,False,False,2025-Q2,True
SUP077,Çetin Güçlü Ambalaj Tic.,Ambalaj,Adana,Small,2014,13,9668826348,70420827.23,15736583.6,12,5,338.51,,395.52,392.32,5418,430,2024-09-25,2025-03-17,45,False,,0.99,False,True,True,True,False,False,2025-Q3,True
SUP064,Tevetoğlu Şafak Mobilya Tic.,Mobilya,Ankara,Small,2009,42,8849912193,58302167.44,12996073.59,49,11,191.32,190.8,195.5,184.65,11983,1599,2025-09-01,2026-07-19,60,False,0.25,0.97,False,True,False,True,False,False,2025-Q2,False
SUP008,Dumanlı Zengin Otomotiv Ltd. Şti.,Otomotiv Yan Sanayi,Van,Small,2000,20,7773602601,50375219.3,5893246.35,28,6,99.59,84.46,101.21,,3419,359,2023-10-30,2025-02-28,90,False,0.14,,False,True,False,True,False,False,2025-Q3,True
SUP060,Gül İçecek San. ve Tic. A.Ş.,Gıda ve İçecek,Çorum,Large,,2508,3268018242,7997165307.54,,144,11,1547.18,1542.01,1593.66,1600.93,148941,22964,2018-01-12,,45,True,0.16,0.47,False,True,,True,False,True,2025-Q1,True
SUP027,Şener Aksu Makine Ltd. Şti.,Makine İmalat,Aydın,Small,1994,14,1249947179,16406178.41,1422937.58,29,5,353.83,399.78,402.33,393.25,12544,2085,2017-11-27,2025-12-27,60,False,,0.97,False,True,False,True,False,False,2025-Q2,True
SUP048,Şensoy Şama Kimya Tic.,Kimya,Ankara,Small,,13,8151820371,86976403.43,13366905.96,15,2,,341.3,361.18,379.76,12166,768,2021-03-25,,90,False,0.12,0.5,False,True,False,,False,False,2025-Q2,True
SUP016,Ertaş Duran Mobilya San. Tic. Ltd. Şti.,Mobilya,Van,Medium,1990,222,5332003793,497943819.37,19877019.05,123,36,,530.69,587.07,576.18,52237,8956,2017-06-06,2026-03-30,30,False,0.16,0.26,False,True,False,,True,False,2025-Q1,True
SUP007,Akar Demirel Makine İmalat Ltd. Şti.,Makine İmalat,Balıkesir,Micro,2013,4,2165667019,9101490.12,2802263.44,25,16,,51.51,53.16,,582,36,2017-02-21,2025-11-19,30,False,0.25,0.35,True,,False,False,False,False,2025-Q1,True
SUP043,Tarhan Safak Elektrik Tic.,Elektronik,Kayseri,Small,1985,21,3961201837,79068927.87,11448934.14,37,10,234.21,225.67,230.51,222.92,16120,1014,2019-06-01,2026-05-18,90,False,0.19,0.57,False,True,True,,False,False,2025-Q4,True
SUP050,Yilmaz Makine San. Tic. Ltd. Şti.,Makine İmalat,Şanlıurfa,Medium,1981,179,9805929621,703410436.07,59249844.96,118,23,178.56,168.06,138.89,161.44,73402,942,2019-05-20,2025-08-28,45,True,0.08,0.77,True,True,False,True,False,True,2025-Q3,True
SUP009,Bilge Ambalaj San. ve Tic. A.Ş.,Ambalaj,Adana,Medium,,178,9208121918,757454785.67,97396923.78,76,6,811.75,810.73,,772.6,66096,9077,2021-06-04,2026-05-31,45,False,0.13,0.24,False,True,False,True,True,False,2025-Q2,True
SUP031,Alemdar Türk Mobilya Tic.,Mobilya,İstanbul,Small,2015,32,6886753392,87762424.1,,42,8,355.7,323.63,318.56,297.05,12727,727,2017-08-23,2025-03-06,90,False,0.16,0.61,False,True,False,True,False,False,2025-Q1,True
SUP023,Karadeniz Demir Çelik Tic.,Metal ve Çelik,Van,Small,2000,40,8701436349,81804912.11,8579252.98,21,8,105.75,101.81,97.31,100.7,8488,872,2024-05-28,2026-01-16,60,,0.18,0.7,False,True,False,False,False,True,2025-Q1,True
SUP035,Çamurcuoğlu Şensoy Yapi Tic.,İnşaat Malzemeleri,Ankara,Micro,2007,6,4394210472,5933265.58,1424746.95,20,1,56.79,51.19,49.26,61.8,1153,186,2023-06-04,,30,False,0.26,0.95,False,True,False,False,False,False,2025-Q4,True
SUP045,Eraslan Mobilya Tic.,Mobilya,Kahramanmaraş,Small,1987,37,1715969661,95079167.85,23277811.31,14,2,85.84,87.85,91.08,117.47,579,,2024-08-27,2025-10-25,60,True,0.06,0.34,False,True,False,True,False,False,2025-Q4,True
SUP057,İhsanoglu Arsoy Oto Yedek Parca Tic.,Otomotiv Yan Sanayi,Şanlıurfa,Small,,14,7582029704,50132418.68,9419171.62,30,10,136.72,123.65,126.92,126.77,11328,2454,2017-01-09,2024-12-05,45,True,0.23,0.31,False,True,False,True,False,False,2025-Q1,True
SUP016,Ertas Duran Mobilya San. Tic. Ltd. Şti.,Mobilya,Van,Medium,1990,222,5332003793,497943819.37,19796098.69,123,37,550.26,504.2,561.12,626.6,56390,9738,2017-06-06,2026-03-30,30,False,0.1,0.4,False,True,False,True,False,,2025-Q3,True
SUP011,Safak Otomotiv Ltd. Şti.,Otomotiv Yan Sanayi,Konya,Small,1994,27,5935348749,,7391166.53,25,5,121.71,126.72,114.46,111.22,6554,938,2019-05-30,2026-03-06,30,True,0.17,0.24,False,True,False,True,False,False,2025-Q1,True
SUP060,Gül İçecek San. ve Tic. A.Ş.,Gıda ve İçecek,Çorum,Large,1999,2508,3268018242,7997165307.54,531678948.15,133,10,1547.55,1724.31,1623.89,1587.37,128894,15033,2018-01-12,2024-11-15,45,True,,0.48,,False,False,False,False,True,2025-Q3,True
SUP070,Bilgin Tekstil San. Tic. Ltd. Şti.,Tekstil,Manisa,Medium,1981,135,5788768743,258209836.78,31852815.23,62,9,975.73,980.53,1117.01,1024.12,71342,7579,2020-08-09,2025-12-11,,False,0.1,0.66,False,True,False,True,True,True,2025-Q3,False
SUP082,Gülen Gül Çelik Tic.,Metal ve Çelik,İzmir,Small,1985,20,2765918039,99120972.85,7898811.12,35,12,241.93,238.16,248.72,257.9,8020,691,2018-05-14,2024-10-27,45,False,0.1,0.31,False,True,False,True,False,True,2025-Q1,True
SUP069,Şama Yildirim Gida San. Tic. Ltd. Şti.,Gıda ve İçecek,Manisa,Medium,2001,,8734540195,315353859.35,5525632.11,50,6,953.92,843.16,759.86,801.54,90332,3140,2020-07-07,2024-10-29,45,False,0.13,0.73,False,True,False,False,False,True,2025-Q4,True
SUP033,Akça Plastik San. Tic. Ltd. Şti.,Plastik ve Kauçuk,Konya,Medium,1981,163,3400504557,384995038.54,44246358.52,143,6,527.97,533.75,537.63,505.98,89446,667,2020-04-13,2026-08-20,90,True,0.07,0.33,False,True,True,,False,False,2025-Q3,True
SUP063,Aksu Eraslan Gıda Tic.,Gıda ve İçecek,Bursa,Small,2016,29,8016873396,,7742101.95,18,9,137.47,136.24,132.18,,1358,112,2024-10-11,2025-11-11,60,True,0.37,0.13,False,True,True,True,False,False,2025-Q3,True
SUP083,Bilge Sakarya Mobilya San. ve Tic. A.Ş.,Mobilya,Gaziantep,Medium,1985,194,4968562187,166913253.93,21486345.94,99,17,100.83,99.84,110.02,102.28,47601,8937,2022-06-19,2026-05-24,60,,0.07,0.32,False,,True,,False,False,2025-Q2,True
SUP051,İnönü Akçay Mobilya San. ve Tic. A.Ş.,Mobilya,Şanlıurfa,Medium,2005,99,6977468862,139323185.16,9940619.27,143,,916.25,921.23,801.29,700.04,31170,7323,2021-03-04,2025-10-03,45,False,0.14,0.3,False,True,False,True,False,,2025-Q3,True
SUP010,Sezgin Mobilya Holding A.Ş.,Mobilya,Konya,Large,1998,547,1799118380,5335670572.32,165464453.46,229,10,2669.97,2607.32,2817.24,3016.81,606882,117143,2016-10-20,2026-04-22,60,True,0.13,0.37,False,True,,True,True,False,2025-Q3,True
SUP008,Dumanlı Zengin Otomotiv Ltd. Şti.,Otomotiv Yan Sanayi,Van,Small,2000,20,7773602601,50375219.3,5592201.85,26,6,97.84,90.45,104.4,103.28,3276,354,2023-10-30,2025-02-28,90,False,0.12,0.98,False,True,False,,,False,2025-Q2,True
SUP070,Bilgin Tekstil San. Tic. Ltd. Şti.,Tekstil,Manisa,Medium,1981,135,5788728743,258209836.78,35826324.02,62,9,1010.25,1053.89,1145.35,,64773,10076,2020-08-09,2025-12-11,45,False,0.07,0.52,,True,False,True,False,False,2025-Q1,True
SUP068,Demir Yüksel Kimyasal Ürünler San. ve Tic. A.Ş.,Kimya,Balıkesir,Large,1959,1439,1415747331,5934917818.18,181663120.83,262,26,1036.77,1165.45,957.24,1231.81,811585,54674,2025-07-01,2025-08-26,60,,0.08,0.06,True,True,False,True,True,False,2025-Q3,True
SUP012,Manço Bilir Kimya Ltd. Şti.,Kimya,Adana,Small,,37,3045053310,21773769.46,5285857.7,13,5,138.52,137.85,150.93,144.47,530,141,2022-06-25,2025-04-13,60,False,0.13,,False,,False,True,False,False,2025-Q2,True
SUP031,Alemdar Türk Mobilya Tic.,Mobilya,İstanbul,Small,,32,6886753392,87762424.1,7663610.36,38,9,327.85,302.87,312.92,284.08,12183,628,2017-08-23,2025-03-06,90,False,,0.56,False,True,False,False,False,False,2025-Q4,True
SUP013,Çorlu İnşaat Malzemeleri San. Tic. Ltd. Şti.,İnşaat Malzemeleri,Şanlıurfa,Medium,1981,147,1733754337,936892914.12,129750292.53,111,18,241.72,245.53,214.5,248.5,118740,6725,2022-06-02,2024-11-28,30,False,0.05,0.25,False,True,,False,False,False,2025-Q2,True
SUP011,Şafak Otomotiv Ltd. Şti.,Otomotiv Yan Sanayi,Konya,Small,,27,5935348749,49436611.57,6982617.16,24,6,126.07,131.56,118.07,119.29,6146,797,,2026-03-06,30,True,0.21,0.23,False,,False,True,False,False,2025-Q3,True
SUP069,Şama Yıldırım Gıda San. Tic. Ltd. Şti.,Gıda ve İçecek,Manisa,Medium,2001,217,8734540195,315353859.35,5394808.99,53,8,857.98,878.56,844.22,817.45,90698,3841,2020-07-07,2024-10-29,45,False,0.14,0.88,False,True,False,True,False,False,2025-Q1,True
SUP024,Arsoy Yapı Ltd. Şti.,İnşaat Malzemeleri,Kocaeli,Small,2002,47,9941340523,73256944.8,6563940.49,57,24,140.05,130.96,144.22,151.85,9517,1483,2022-11-24,2025-01-14,60,True,0.12,,False,False,False,False,,False,2025-Q1,False
SUP038,Zengin Makine İmalat Ltd. Şti.,Makine İmalat,Bursa,Small,2008,16,6850643170,76804211.33,4915088.46,54,15,176.98,177.28,177.59,187.59,9350,1070,2021-02-28,2026-04-13,30,False,0.19,0.71,False,False,False,True,False,True,2025-Q1,True
SUP038,Zengin Makine İmalat Ltd. Şti.,Makine İmalat,Bursa,Small,2008,16,6850643170,76804211.33,4647199.59,51,15,183.34,190.8,178.29,181.08,8603,906,2021-02-28,2026-04-13,30,False,0.15,0.51,False,False,False,True,False,True,2025-Q2,True
SUP068,Demir Yüksel Kimyasal Ürünler San. ve Tic. A.Ş.,Kimya,Balıkesir,Large,1959,1439,1415747331,5934917818.18,170795396.59,247,34,1133.64,1075.57,1098.75,1135.46,819142,69752,2025-07-01,2025-08-26,60,False,0.12,0.05,False,True,False,True,True,False,2025-Q1,True
SUP017,Kisakürek Mobilya San. ve Tic. A.Ş.,Mobilya,Bursa,Medium,1982,,3788957982,544939452.11,27363878.58,56,26,886.01,727.05,752.48,794.38,116886,8314,2018-10-25,2026-08-27,90,False,,,False,False,False,,True,False,2025-Q4,True
SUP069,Şama Yıldırım Gıda San. Tic. Ltd. Şti.,Gıda ve İçecek,Manisa,Medium,2001,217,8734540195,315353859.35,5319188.48,55,7,880.21,876.54,836.39,787.78,95323,3099,2020-07-07,2024-10-29,45,False,0.12,0.97,False,True,False,False,False,True,2025-Q2,True
SUP041,İnönü Gıda Ltd. Şti.,Gıda ve İçecek,İstanbul,Small,2011,31,8761565458,66976905.19,10278592.63,13,4,123.34,108.84,104.54,117.34,2312,139,2025-02-01,2024-11-19,45,False,,0.27,False,True,False,True,False,True,2025-Q2,False
SUP062,Ülker Kauçuk Ltd. Şti.,Plastik ve Kauçuk,Adana,Micro,2010,6,6625881534,3369894.07,436500.71,20,9,130.74,137.38,129.93,125.44,2592,226,2018-10-31,2024-12-18,90,False,0.15,0.54,False,True,False,True,True,False,2025-Q2,True
SUP026,İhsanoğlu Tarhan Yapı Ltd. Şti.,İnşaat Malzemeleri,Kocaeli,Micro,2021,2,3328120679,,,23,3,133.17,127.7,120.48,126.25,5519,1164,,,90,False,0.23,0.33,False,True,False,True,False,False,2025-Q3,True
SUP002,Yaman Korutürk Oto Yedek Parça San. Tic. Ltd. Şti.,Otomotiv Yan Sanayi,Kocaeli,Medium,1989,247,5131647525,862744929.71,78882989.57,52,22,143.74,163.64,158.74,153.43,55677,2957,2020-11-09,2025-03-02,60,True,0.03,0.25,False,True,False,True,False,False,2025-Q2,True
SUP033,Akça Plastik San. Tic. Ltd. Şti.,Plastik ve Kauçuk,Konya,Medium,1981,163,3400504557,384995038.54,47361290.88,130,5,553.45,517.76,558.15,473.19,94065,516,2020-04-13,2026-08-20,90,True,0.08,0.27,False,True,True,False,,False,2025-Q4,True
SUP079,Şafak Nakliyat Tic.,Lojistik,İstanbul,Small,1994,11,5899642355,,9829631.64,42,16,148.18,118.99,,,6836,955,2018-05-05,,45,False,0.11,0.52,False,True,False,True,,False,2025-Q3,True
SUP034,Şensoy Soylu Mobilya Tic.,Mobilya,Balıkesir,Small,2014,28,9217594648,25756241.96,5013092.01,44,12,98.26,87.44,76.27,92.91,16369,2619,2022-01-17,2025-02-22,,False,0.13,0.12,False,True,False,True,False,False,2025-Q4,True
SUP073,Şama Elektronik San. Tic. Ltd. Şti.,Elektronik,Gaziantep,Medium,2003,79,4971870724,636233018.98,75713798.93,140,0,780.89,671.65,715.75,716.87,44594,8350,2017-03-24,2026-07-09,90,False,0.13,0.4,False,True,False,True,True,False,2025-Q2,True
SUP004,Şafak Türk Lojistik Ltd. Şti.,Lojistik,Mersin,Small,1989,34,7978480182,48559044.46,7612198.95,46,17,307.99,311.17,270.95,275.79,4763,904,2018-03-04,2025-12-12,60,False,0.34,0.6,False,True,True,False,,True,2025-Q4,True
SUP084,Akar Oto Yedek Parça Tic.,Otomotiv Yan Sanayi,Adana,Small,2009,15,5811426261,95937255.72,11063270.32,32,3,343.78,343.42,339.31,321.57,10654,831,2020-12-03,2025-02-05,60,False,0.2,0.29,False,False,False,True,False,False,2025-Q2,False
SUP064,Tevetoğlu Şafak Mobilya Tic.,Mobilya,Ankara,Small,2009,,8849912163,,13708610.07,45,11,184.53,204.12,191.4,197.95,11569,1201,2025-09-01,2026-07-19,60,False,,1.1,False,True,False,True,False,False,2025-Q3,True
SUP047,Akgündüz İçecek Tic.,Gıda ve İçecek,Ankara,Micro,2015,8,5490581475,7842056.85,1478166.29,30,6,38.62,38.28,35.87,39.87,821,150,2018-08-22,,90,True,0.09,,False,True,False,True,,False,2025-Q4,True
SUP002,Yaman Korutürk Oto Yedek Parça San. Tic. Ltd. Şti.,Otomotiv Yan Sanayi,Kocaeli,Medium,1989,247,5131647525,862744929.71,88388510.61,59,22,137.19,180.27,177.31,141.56,52448,3185,2020-11-09,2025-03-02,60,True,0.05,0.22,False,True,False,True,False,False,2025-Q4,True
SUP045,Eraslan Mobilya Tic.,Mobilya,Kahramanmaraş,Small,,37,1715969661,95079167.85,20748762.22,14,3,,87.81,94.86,103.56,613,21,2024-08-27,2025-10-25,60,True,0.09,0.25,False,True,True,,False,False,2025-Q2,True
SUP039,Zengin Gülen Mobilya San. Tic. Ltd. Şti.,Mobilya,Manisa,Medium,1975,,3284210201,319212007.45,8819618.34,42,10,1005.78,1048.83,1051.79,1128.98,16629,54,2023-12-25,2026-08-08,60,False,0.05,0.38,False,False,False,True,False,,2025-Q1,True
SUP001,Korutürk Aslan İplik San. Tic. Ltd. Şti.,Tekstil,Trabzon,Medium,,,4794026545,225584135.67,5675065.75,138,34,334.8,284.23,373.67,270.45,55200,,2018-08-02,,45,,0.02,0.3,False,False,False,False,,True,2025-Q4,True
SUP069,Şama Yıldırım Gıda San. Tic. Ltd. Şti.,Gıda ve İçecek,Manisa,Medium,2001,217,8734540595,315353859.35,5812009.92,54,8,930.9,818.57,782.92,819.6,97031,2919,2020-07-07,2024-10-29,45,False,0.11,0.76,False,True,False,False,False,True,2025-Q3,False
SUP006,Tevetoğlu Otomotiv Tic.,Otomotiv Yan Sanayi,Eskişehir,Small,2008,38,9713315090,21555231.8,3056851.87,52,22,309.93,361.42,317.21,360.56,9445,1163,2020-08-25,,45,False,0.15,0.63,False,True,False,True,True,False,2025-Q3,True
SUP028,Ertaş Kisakürek Taşimacilik Holding A.Ş.,Lojistik,İzmir,Large,1986,414,3787429673,5186256634.29,344992461.99,378,95,2166.14,2124.89,2302.62,2093.47,576226,133039,2020-11-09,,30,,0.11,0.75,False,,False,True,False,False,2025-Q2,True
SUP020,Ülker Bilgin Kauçuk Tic.,Plastik ve Kauçuk,Kocaeli,Small,1986,44,1531003305,22212953.85,3071516.97,10,6,,237.7,262.26,228.42,1943,139,2017-11-16,2024-10-15,45,False,0.25,0.44,True,True,False,True,False,False,2025-Q4,True
SUP058,Yorulmaz Çelik San. ve Tic. A.Ş.,Metal ve Çelik,Denizli,Medium,1976,,3786814479,129146791.58,4010689.95,75,21,1139.37,1296.79,1087.73,1025.31,62589,4648,2021-12-03,2025-03-14,,False,0.13,0.41,False,True,False,False,True,False,2025-Q3,True
SUP033,Akça Plastik San. Tic. Ltd. Şti.,Plastik ve Kauçuk,,Medium,1981,163,3400404557,384995038.54,44211909.94,137,8,508.4,542.23,561.5,529.95,83380,857,2020-04-13,,90,True,0.08,0.28,False,True,True,False,False,,2025-Q2,False
SUP064,Tevetoğlu Şafak Mobilya Tic.,Mobilya,Ankara,Small,2009,42,8849912163,58302167.44,14063773.9,45,9,174.53,215.01,176.78,183.48,11739,998,2025-09-01,2026-07-19,60,False,0.21,1.15,False,True,False,True,False,False,2025-Q4,True
SUP073,Şama Elektronik San. Tic. Ltd. Şti.,Elektronik,Gaziantep,Medium,2003,79,4971870724,636233018.98,77636343.42,121,0,765.25,765.23,694.88,653.68,43087,8506,2017-03-24,,90,False,,0.34,False,True,False,True,True,False,2025-Q4,True
SUP071,Demirel Makine İmalat Tic.,Makine İmalat,Eskişehir,Small,1991,21,3752046371,26757916.22,5409631.37,46,27,,100.81,88.02,73.9,10641,,2016-10-24,2024-11-04,60,False,0.32,0.2,False,True,False,True,False,,2025-Q3,False
SUP053,Şener Otomotiv Ltd. Şti.,Otomotiv Yan Sanayi,Çorum,Small,1994,45,9614341038,23144437.61,835679.0,51,8,168.61,149.34,133.77,147.22,12128,723,2021-10-08,2026-06-25,90,,0.14,0.46,False,True,False,,False,False,2025-Q4,True
SUP080,Seven Ambalaj San. ve Tic. A.Ş.,Ambalaj,Konya,Medium,1978,184,1100623127,403807855.63,51765675.83,109,13,1074.51,1098.66,1142.75,1186.62,93268,7410,2022-09-20,2025-08-05,30,True,0.14,0.42,False,,False,True,False,False,2025-Q2,True
SUP027,Şener Aksu Makine Ltd. Şti.,Makine İmalat,Aydın,Small,1994,14,1249947179,16406178.41,1343005.09,29,6,365.35,387.69,377.7,419.43,12030,2204,2017-11-27,2025-12-27,60,False,0.12,0.77,False,True,False,True,False,False,2025-Q3,True
SUP054,Akar Manço Oto Yedek Parça San. Tic. Ltd. Şti.,Otomotiv Yan Sanayi,Gaziantep,Medium,,,2888880672,637065138.54,8844047.33,56,18,1193.76,1032.42,1112.21,1111.42,124821,20342,2025-04-30,2025-12-27,30,False,,0.61,False,True,False,True,False,True,2025-Q3,True
SUP070,Bilgin Tekstil San. Tic. Ltd. Şti.,Tekstil,Manisa,Medium,1981,135,5788728743,258209836.78,34967978.65,60,8,951.61,1012.67,1113.85,1022.56,67973,8442,2020-08-09,2025-12-11,45,False,0.08,0.52,False,True,False,True,True,True,2025-Q2,True
SUP056,Hayrioğlu Soylu Nakliyat Grup A.Ş.,Lojistik,Denizli,Large,1961,2282,8584161691,5528303491.61,146602181.42,329,79,273.33,,283.15,316.71,360269,329,2016-09-13,2025-12-19,45,True,,0.44,False,True,False,True,False,,2025-Q3,True
SUP003,Korutürk Makine İmalat San. Tic. Ltd. Şti.,Makine İmalat,Kocaeli,Medium,1995,152,5139537675,671480459.38,56927833.19,127,42,136.72,144.01,,158.61,94939,3542,2018-06-08,2026-02-17,45,True,0.14,0.09,False,True,False,True,False,True,2025-Q1,True
SUP031,Alemdar Türk Mobilya Tic.,Mobilya,İstanbul,Small,2015,32,6886753392,87762424.1,7571873.97,38,,339.29,314.66,331.87,291.31,13368,848,,2025-03-06,90,False,0.12,0.44,False,True,False,True,False,False,2025-Q2,True
SUP014,Ergül Kimyasal Ürünler Ltd. Şti.,Kimya,Mersin,Small,2007,30,7981693409,67733356.47,7957101.17,14,7,109.05,124.43,117.33,119.98,13100,1029,2023-02-26,2024-11-24,90,True,0.25,0.44,False,True,False,False,False,False,2025-Q3,True
SUP055,Aksu Duran Kimya Grup A.Ş.,Kimya,Sakarya,Large,1961,802,2704303056,3413617452.14,242644273.49,101,3,4244.91,,4489.42,3909.36,502380,51154,2023-01-20,2026-04-25,60,True,0.03,0.3,False,True,False,True,True,True,2025-Q3,True
SUP036,Eraslan Yaman Oto Yedek Parça San. ve Tic. A.Ş.,Otomotiv Yan Sanayi,Denizli,Medium,1982,169,2236851603,258076063.4,7679544.04,82,4,918.72,842.98,911.83,897.36,57557,5822,2024-07-01,2024-12-29,60,False,0.11,0.33,False,True,False,True,False,True,2025-Q2,True
SUP008,Dumanli Zengin Otomotiv Ltd. Şti.,Otomotiv Yan Sanayi,Van,Small,2000,20,7773602601,50375219.3,6425597.59,30,6,102.57,79.9,94.31,117.71,3279,326,,2025-02-28,90,False,0.1,0.58,,True,False,,False,False,2025-Q4,True
SUP040,Yaman Zorlu Metal Ltd. Şti.,Metal ve Çelik,Eskişehir,Small,2018,29,8007661779,21408268.93,2513844.82,10,3,103.02,,115.34,,3252,633,2022-11-07,2025-02-27,30,False,0.14,0.88,False,False,False,True,False,False,2025-Q4,True
SUP043,Tarhan Şafak Elektrik Tic.,Elektronik,Kayseri,Small,,21,3961201857,79068927.87,12109216.48,40,11,242.01,220.96,208.45,213.36,13837,1192,2019-06-01,,90,False,0.25,0.78,False,True,False,True,False,False,2025-Q2,False
SUP075,Soylu San. ve Tic. A.Ş.,İnşaat Malzemeleri,İzmir,Large,1962,712,1690331198,2558831511.76,,370,156,3780.0,3980.63,3761.1,3510.52,213533,27203,2021-06-06,2026-02-11,30,True,0.1,0.46,False,True,False,True,False,False,2025-Q1,True
SUP030,Hayrioğlu Karadeniz Lojistik Ltd. Şti.,Lojistik,Denizli,Small,2014,17,3748467739,72842502.62,4131170.63,18,7,193.08,214.89,232.23,254.43,5219,123,2020-06-05,2026-02-23,90,False,0.14,0.31,False,True,False,,False,False,2025-Q1,True
SUP084,Akar Oto Yedek Parça Tic.,Otomotiv Yan Sanayi,Adana,Small,2009,15,5311496261,95937255.72,11251010.09,31,4,342.94,,359.83,325.25,10415,955,2020-12-03,2025-02-05,60,False,0.18,0.39,False,False,False,True,False,False,2025-Q1,False
SUP028,Ertaş Kısakürek Taşımacılık Holding A.Ş.,Lojistik,İzmir,Large,1986,414,3787429673,5186256634.29,321970493.98,361,77,2108.11,2093.68,2566.52,,546240,163292,2020-11-09,2025-01-14,30,True,0.1,0.68,False,True,False,True,False,False,2025-Q4,True
SUP023,Karadeniz Demir Çelik Tic.,Metal ve Çelik,Van,Small,2000,40,8701436349,,8956318.46,22,9,103.45,94.81,99.87,97.96,8172,,2024-05-28,2026-01-16,60,False,0.16,0.62,False,True,False,False,False,True,2025-Q2,True
SUP024,Arsoy Yapı Ltd. Şti.,İnşaat Malzemeleri,Kocaeli,Small,2002,47,9941343523,73256944.8,6145165.65,58,29,152.6,136.16,155.24,148.13,8217,1480,2022-11-24,2025-01-14,60,True,0.18,,False,False,False,False,False,False,2025-Q3,True
SUP025,Ülker Kimya Ltd. Şti.,Kimya,Kocaeli,Small,,,7719022941,72767565.36,4299557.29,11,2,230.12,215.07,225.59,185.59,1627,,2022-09-26,2025-02-19,30,False,0.15,0.32,False,True,False,True,False,False,2025-Q4,True
SUP049,Şafak Çelik San. Tic. Ltd. Şti.,Metal ve Çelik,Adana,Medium,1984,139,5629148653,,86464245.83,88,15,502.35,418.4,454.14,468.13,50011,9674,2018-08-04,2025-04-25,45,False,0.15,0.61,False,False,False,,,False,2025-Q2,True
SUP015,Eraslan Sezgin Nakliyat San. ve Tic. A.Ş.,Lojistik,Sakarya,Large,1976,2973,7299468043,7642121401.8,646530561.14,192,,2229.79,,2118.1,2346.24,520187,11588,2022-07-18,,60,True,0.09,0.28,False,True,False,True,False,,2025-Q3,True
SUP075,Soylu San. ve Tic. A.Ş.,İnşaat Malzemeleri,İzmir,Large,1962,712,1690331198,2558831511.76,11720102.46,388,152,4009.84,3991.02,3510.54,3274.66,201558,23610,2021-06-06,,30,True,0.13,0.3,,True,False,True,False,False,2025-Q3,True
SUP045,Eraslan Mobilya Tic.,Mobilya,Kahramanmaraş,Small,1987,37,1715969661,,18903345.03,13,3,84.79,90.5,97.62,96.31,625,,2024-08-27,2025-10-25,60,True,0.08,0.24,False,True,True,True,False,False,2025-Q1,True
